epoch,d_loss0,d_loss1,g_loss
20,0.398476,0.440044,4.02549
30,1.34902,0.546566,11.359
40,0.311447,0.274572,2.99764
50,0.415607,0.251547,2.76254
60,0.540019,0.251487,2.95028
70,0.459683,0.187971,2.70022
80,0.300506,0.241037,3.20105
90,0.317957,0.227173,2.57985
100,0.309081,0.22928,2.36185
110,0.280958,0.394354,2.72184
120,0.302573,0.259848,2.8031
130,0.347014,0.26455,2.48158
140,0.544659,0.253392,2.44569
150,0.300187,0.273919,2.50295
160,0.517259,0.260404,2.49089
170,0.555368,0.286499,4.51869
180,0.399832,0.264712,2.19028
190,0.254985,0.54183,2.15707
200,0.459433,0.421863,4.85513
210,0.266855,0.24808,2.07844
220,0.305845,0.202584,2.5133
230,0.343844,0.39437,2.514
240,0.44121,0.245271,3.42019
250,0.254847,0.216832,2.96225
260,0.383938,0.326145,3.04394
270,0.599503,0.573367,3.32274
280,0.253227,0.226093,2.07942
290,0.328892,0.450026,2.62472
300,0.308014,0.309991,2.76366
310,0.386921,0.210861,2.35543
320,0.232609,0.231077,3.94817
330,0.196144,0.193789,2.74819
340,0.271773,0.195626,4.07988
350,0.488694,0.285314,4.1088
360,0.342372,0.357252,2.73941
370,0.219424,0.295159,2.57576
380,0.237312,0.247381,2.26697
390,0.376412,0.271417,3.10559
400,0.316399,0.228156,2.89761
410,0.443477,0.207505,2.84677
420,0.342852,0.358169,3.7142
430,0.231227,0.214194,2.12728
440,0.891323,0.197401,7.94172
450,0.285835,0.351441,3.06798
460,0.83723,0.353971,3.3432
470,0.421205,0.248024,3.64136
480,0.217206,0.456473,2.68115
490,0.899097,0.234086,7.93472
500,0.310606,0.258235,2.32684
510,0.492958,0.348625,2.71098
520,0.329335,0.21218,2.63197
530,0.256917,0.214633,1.97412
540,0.277489,0.239292,2.31732
550,0.240347,0.210067,2.74343
560,0.202851,0.405912,2.66642
570,0.297734,0.226539,2.56141
580,0.413166,0.285273,3.11054
590,0.299138,0.289289,2.87491
600,0.265714,0.309344,2.70989
610,0.330619,0.275249,3.28677
620,0.300039,0.24432,2.19271
630,0.369537,0.245809,2.59607
640,0.570552,0.217785,3.79687
650,0.315334,0.243493,2.7298
660,0.255356,0.238863,2.57372
670,0.221679,0.215387,2.21866
680,0.398093,0.234499,3.32063
690,0.341595,0.204735,3.07795
700,0.208888,0.221413,3.03553
710,0.240418,0.783167,3.39437
720,0.573992,0.209794,5.72554
730,2.17261,0.300035,10.1475
740,0.318452,0.210402,3.72811
750,0.461835,0.217586,4.39868
760,0.406282,0.272531,4.38359
770,0.40056,0.192424,3.97494
780,0.220768,0.432885,3.29042
790,0.437692,0.265831,3.85766
800,0.512941,0.219503,4.06752
810,0.66054,0.212327,5.68483
820,0.790566,0.248028,5.96008
830,0.356886,0.23702,3.38607
840,0.218506,0.474011,3.03073
850,0.566336,0.353987,4.85306
860,0.220231,0.316196,3.20531
870,0.482002,0.218134,4.43843
880,0.578974,0.251292,6.14884
890,0.477676,0.303116,5.0386
900,0.301669,0.322561,3.77149
910,0.338564,0.674531,2.84466
920,0.31844,0.288319,3.49963
930,0.841706,0.252768,5.68702
940,0.344151,0.242623,3.05597
950,0.187615,0.284745,3.80369
960,0.506517,0.203998,5.11807
970,0.27212,0.213061,3.3291
980,0.360435,1.03838,2.59918
990,0.353623,0.214654,3.55265
1000,0.406318,0.582472,2.51699
1010,0.407498,0.652267,3.2635
1020,0.254227,0.193895,3.47776
1030,0.371106,0.20053,4.31202
1040,0.796003,0.44431,5.97203
1050,0.642387,0.21482,4.79606
1060,0.382413,0.213033,4.22322
1070,0.276568,0.23186,3.95997
1080,0.225009,0.23314,3.52905
1090,0.227385,0.278893,3.27251
1100,0.30498,0.255787,3.61123
1110,0.797396,0.393513,4.32589
1120,0.294442,0.245377,3.16673
1130,0.391076,0.203736,3.68255
1140,0.545744,0.254273,3.81177
1150,0.379384,0.206761,3.44287
1160,0.380943,0.293801,3.17374
1170,0.221249,0.334673,2.99179
1180,0.286917,0.241337,2.94355
1190,0.284175,0.203136,2.99674
1200,0.459392,0.233476,3.94481
1210,0.416645,0.201638,3.61831
1220,0.370098,0.363571,3.1374
1230,0.266253,0.341225,2.88963
1240,0.203703,0.228509,3.49178
1250,0.353722,0.362567,2.8321
1260,0.194103,0.204727,4.00136
1270,0.326416,0.233259,2.99491
1280,0.197861,0.227558,3.05148
1290,0.29033,0.203274,3.62093
1300,0.615322,0.677584,3.30878
1310,0.468105,0.81683,2.97534
1320,0.274404,0.300062,3.46135
1330,0.273606,0.216684,3.19724
1340,0.24727,0.196956,2.93858
1350,0.501766,0.251175,2.9683
1360,0.35158,0.235288,3.04032
1370,0.5933,0.676581,3.60244
1380,0.333226,0.241917,3.0857
1390,0.77615,0.321012,4.47838
1400,0.308023,0.374339,2.67754
1410,0.519289,0.476542,3.35944
1420,0.666798,0.375623,3.92889
1430,0.303573,0.214832,2.51053
1440,0.642137,0.3198,3.7546
1450,0.303185,0.21923,2.5752
1460,0.507655,1.78882,2.26823
1470,0.498175,0.264524,3.091
1480,0.298931,0.220727,3.36729
1490,0.487778,0.283843,3.0909
1500,0.277608,0.190442,2.80744
1510,0.253604,0.233903,2.71261
1520,0.247326,0.214009,2.58874
1530,0.319297,0.224571,3.37391
1540,0.264341,0.263235,2.98969
1550,0.262972,0.315412,2.81455
1560,0.364032,0.264374,2.50686
1570,0.260646,0.221442,2.74769
1580,0.29755,0.236193,2.55403
1590,0.484014,0.264655,3.61594
1600,0.740734,0.423003,4.39101
1610,0.36891,0.24238,2.65558
1620,0.839314,0.427482,5.06075
1630,0.247792,0.220353,2.55268
1640,0.310825,0.325417,2.72011
1650,0.278812,0.227409,2.758
1660,0.259742,0.201234,2.46969
1670,0.505539,0.322838,3.26184
1680,0.548972,0.313976,3.17358
1690,0.273807,0.238968,2.63029
1700,0.377987,0.238172,3.72833
1710,0.326587,0.30213,2.99865
1720,0.272721,0.249349,2.83492
1730,0.263375,0.243926,2.74921
1740,0.623354,3.45957,2.62734
1750,0.374585,0.288194,2.73674
1760,0.708445,0.306071,4.20125
1770,0.26294,0.210816,2.592
1780,0.302701,0.243283,2.79127
1790,0.225156,0.29339,2.91336
1800,0.282267,0.226311,2.56706
1810,0.247335,0.209478,2.45277
1820,0.270389,0.18049,3.75392
1830,0.321585,0.195024,3.00631
1840,0.237323,0.20872,2.88762
1850,0.244841,0.290796,3.12037
1860,0.229523,0.214442,2.89661
1870,0.253097,0.201458,2.70423
1880,0.892377,0.407359,4.5887
1890,1.12224,0.288887,2.9478
1900,0.25167,0.334123,2.58063
1910,0.275918,0.209869,2.51574
1920,0.32615,0.251693,4.26328
1930,0.277941,0.233396,2.89114
1940,0.365656,0.189201,2.82879
1950,0.371484,0.250365,3.17776
1960,1.04322,0.200044,6.39927
1970,0.268818,0.210138,2.7667
1980,0.280272,0.239206,2.53007
1990,0.217154,0.237639,3.16553
2000,1.33648,2.06007,3.69361
2010,1.98519,0.248447,6.45098
2020,0.511899,0.403496,2.27534
2030,0.263215,0.211066,2.9352
2040,0.367131,0.298394,2.39862
2050,0.380955,0.192225,2.80995
2060,0.344042,0.237306,2.40424
2070,0.355869,0.285123,2.19053
2080,0.275141,0.205127,2.85792
2090,0.209369,3.71818,2.21438
2100,0.736735,0.237021,2.99657
2110,0.317618,0.217461,2.68669
2120,0.258975,0.246098,2.39231
2130,0.268162,0.204559,2.64522
2140,0.261097,0.2546,2.46633
2150,0.255684,0.281779,2.50059
2160,0.365292,0.265925,3.31183
2170,0.419278,0.222444,2.90068
2180,0.234395,0.225967,2.47248
2190,0.3762,0.391147,1.77483
2200,0.234626,0.205558,2.33413
2210,0.294133,0.221864,2.51303
2220,0.249138,0.216044,2.66359
2230,0.33196,0.167515,2.41128
2240,0.237387,0.2642,2.5868
2250,0.387144,0.197238,2.35855
2260,0.293211,0.224974,2.64233
2270,0.319013,0.306913,2.16316
2280,0.48107,0.251071,3.24733
2290,0.317727,0.318439,2.69295
2300,0.273892,0.177562,2.8308
2310,0.255594,0.215965,2.63755
2320,0.334252,0.324484,3.19347
2330,1.42555,0.849065,1.85522
2340,1.28407,0.852826,3.2989
2350,0.313198,0.230839,2.59311
2360,0.440977,0.189734,3.05915
2370,0.227627,0.273966,2.42506
2380,0.405307,0.530518,2.91367
2390,0.444699,0.210104,3.84391
2400,0.272787,0.221987,2.38269
2410,0.293445,1.11243,1.79916
2420,0.242718,0.219718,2.72472
2430,0.302724,0.261293,2.38778
2440,0.34766,0.203329,2.93195
2450,0.226541,0.251324,2.67166
2460,0.213088,0.225737,2.8285
2470,0.637118,0.232348,3.47898
2480,0.217103,0.234788,3.02889
2490,0.502618,0.296126,3.99061
2500,0.311958,0.227775,2.85716
2510,0.216232,0.214212,2.60665
2520,0.633901,0.75215,2.8228
2530,0.23077,0.240751,2.85447
2540,0.252177,0.254701,2.37429
2550,0.662966,0.299373,2.88434
2560,0.20001,0.259453,2.7531
2570,0.304635,0.204105,2.94317
2580,0.397553,0.253496,3.22897
2590,0.259226,1.1151,2.06979
2600,0.349342,0.22141,2.5305
2610,0.593551,0.280405,3.95888
2620,0.252862,0.249408,2.9719
2630,0.411749,0.535555,2.43704
2640,0.308309,0.21131,2.26049
2650,0.301607,0.208189,2.39937
2660,0.684567,0.266004,4.0859
2670,0.457981,0.254259,3.12266
2680,0.603836,0.740144,3.74244
2690,0.268663,0.229877,2.70304
2700,0.295783,0.239725,2.63048
2710,0.326553,0.229243,2.79511
2720,0.319464,0.249908,2.30181
2730,0.313096,0.278743,2.70155
2740,0.544346,0.345143,3.57156
2750,0.30037,0.243002,3.08163
2760,0.233239,0.199503,2.45264
2770,0.251693,0.227584,2.63439
2780,0.271789,0.225771,3.04092
2790,0.265462,0.288335,2.82863
2800,0.292927,0.268015,3.12978
2810,0.930874,0.390872,5.78153
2820,0.271384,0.284401,2.57879
2830,0.619653,0.222638,4.2224
2840,0.363792,0.30167,2.53544
2850,0.407081,0.294363,3.65429
2860,0.417142,0.240317,2.68846
2870,0.263112,0.203157,3.07301
2880,0.288433,0.270768,2.37586
2890,0.366148,0.5959,2.57869
2900,0.391043,0.218932,2.89406
2910,0.385965,0.220722,3.36795
2920,0.328675,0.187249,2.5571
2930,0.944215,0.674479,2.51208
2940,0.458872,0.363133,2.28548
2950,0.431017,0.225036,2.46433
2960,0.563664,0.231102,2.88736
2970,0.271535,0.303915,2.47733
2980,0.24868,0.324758,2.5265
2990,0.296015,0.214024,3.40433
3000,0.319369,0.232236,3.07024
3010,0.375205,0.397327,2.61718
3020,0.411555,0.193242,3.06424
3030,0.252222,0.367074,2.8232
3040,0.341899,0.225769,3.12992
3050,0.26034,0.208131,2.76362
3060,0.251416,1.64235,1.9028
3070,0.391212,0.23102,3.41248
3080,0.398272,0.228157,3.03241
3090,0.326856,0.238444,2.76969
3100,0.399886,0.832277,2.05591
3110,0.599243,0.264524,3.18677
3120,0.290641,0.223685,3.13081
3130,0.243867,0.373056,2.94224
3140,0.439861,0.187698,3.15705
3150,0.303571,0.277652,2.66001
3160,0.416426,0.239081,3.0367
3170,0.489724,0.313462,3.47464
3180,0.289889,0.223693,2.96929
3190,0.378232,0.21516,3.44813
3200,0.466759,0.341605,3.31767
3210,0.243696,0.191124,3.19536
3220,0.323336,0.221774,2.94181
3230,0.258231,0.287996,2.51387
3240,0.275512,0.20118,2.32826
3250,0.350472,0.238388,2.69914
3260,0.374363,0.196801,3.13725
3270,0.449117,0.217396,2.80542
3280,0.818492,1.01509,2.84887
3290,0.325662,0.27881,2.76345
3300,0.264912,0.292269,2.87103
3310,0.291193,0.209253,2.81398
3320,0.219725,0.293611,2.73092
3330,0.304403,0.216961,3.66812
3340,0.685196,0.212123,4.2062
3350,0.285414,0.254514,3.67525
3360,0.920047,0.280135,4.13547
3370,0.224153,0.294036,3.13357
3380,0.407572,0.247358,3.21815
3390,0.260926,0.234343,2.57749
3400,0.370978,0.546664,3.67062
3410,0.755557,0.175472,5.18582
3420,0.578522,0.189446,4.82348
3430,0.615249,0.964392,3.81716
3440,0.589948,0.3285,4.22673
3450,0.519807,0.214014,3.27309
3460,0.448952,0.242921,2.82618
